ID |IBM CIC Name|IBM CIC full address |Country|Is Your CIC delivering this service YES / NO|IBM Entity Name or 3rd Party Vendor name |Is there further sub-contracting to second or third tier vendors? If so, please provide the full names and full address of 2nd or 3rd tier vendors |Service Area|GSO|Service Area Contact Owner|Assesment Owner|NOTE
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|y|No|No|System Operations - Distributed|Compute|Antoine Bruman |Antoine Bruman |
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|y|No|No|Distributed Middleware|Compute|Antoine Bruman |Antoine Bruman |
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|y|No|No|Distributed Storage Services|Resiliency and Storage Services|Antoine Bruman |Antoine Bruman |
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|y|No|No|Mainframe Platform|Mainframe Services|Antoine Bruman |Antoine Bruman |
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|y|No|No|Network Solution Introduction Service|Network Services|Antoine Bruman |Antoine Bruman |
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|y|No|No|Service Portfolio Architect|Hybrid Services Management|Antoine Bruman |Antoine Bruman |
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|y|No|No|Distribute Platform Support|Hybrid Services Management|Antoine Bruman |Antoine Bruman |
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|y|No|No|Hybrid Services Technology|Hybrid Services Management|Antoine Bruman |Antoine Bruman |
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|Y|No|No|Service Portfolio Manager|Hybrid Services Management|Antoine Bruman |Antoine Bruman |
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - BÉt. EuraTechnopolys - 59160 - LOMME|France|y|No|No|Integrate Services Management|Hybrid Services Management|Antoine Bruman |Antoine Bruman |
IBM Local CIC - Italy|IBM Client Innovation Center Milano S.r.l.|via Lombardia 2/A - 20068 - Peschiera Borromeo|Italy|Yes|No|No|Account Delivery Management|Account Delivery Management|Walter Bosia|Walter Bosia|
IBM Local CIC - Italy|IBM Client Innovation Center Milano S.r.l.|via Lombardia 2/A - 20068 - Peschiera Borromeo|Italy|Yes|No|No|Distributed - Project|Compute Services|Walter Bosia|Walter Bosia|
IBM Local CIC - Italy|IBM Client Innovation Center Milano S.r.l.|via Lombardia 2/A - 20068 - Peschiera Borromeo|Italy|Yes|No|No|Network Communication Services|Network Services Delivery|Walter Bosia|Walter Bosia|
IBM Local CIC - Italy|IBM Client Innovation Center Milano S.r.l.|via Lombardia 2/A - 20068 - Peschiera Borromeo|Italy|Yes|No|No|RFS Delivery|RFS Delivery|Walter Bosia|Walter Bosia|
IBM Local CIC - Turkey|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited &#350;irketi|Saray Mahallesi, ômer Faruk Atakan cad, - 34696 - öskÅdar, Istanbul|Turkey|Yes|No|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited Sirketi - Saray Mahallesi, ômer Faruk Atakan cad, No. 3, 34696  -   Turkey|WSS-Deskside|Digital Workplace Services|Dataasist Vizyon|Berke Butev|
IBM Local CIC - Turkey|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited &#350;irketi|Saray Mahallesi, ômer Faruk Atakan cad, - 34696 - öskÅdar, Istanbul|Turkey|Yes|No|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited Sirketi - Saray Mahallesi, ômer Faruk Atakan cad, No. 3, 34696  -   Turkey|WSS-Service Desk|Digital Workplace Services|SERI|Berke Butev|
IBM Local CIC - Turkey|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited &#350;irketi|Saray Mahallesi, ômer Faruk Atakan cad, - 34696 - öskÅdar, Istanbul|Turkey|Yes|No|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited Sirketi - Saray Mahallesi, ômer Faruk Atakan cad, No. 3, 34696  -   Turkey|Workplace Modernization Services|Digital Workplace Services|Destek|Berke Butev|
